ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
2016,20643435.135053862,20643435.135397706,330713.8280334143,147246.46420246208,160864.60915562557,3858.5463029168295,7101162.00427257,3942475.464872121,2181071.1905124844,924309.9842791334,270657.69871132594,98521.68220245966,187021.723673304,7436424.06365201,1638375.6896744792,3057742.880503678,2743524.612589606,2419221.4338497203,659365.142118478,1376860.7119552968,363921.7540527634,1860334.593506828,72469.82054120589,1733822.9576383072,1467682.1887478714,249081.92115935727,748127.937518073,76175.91234230595,186391.46667280016,242299.78313214504,19918033.118001856,19920270.398112472,960746.6182383533,416227.4209457221,465764.17062976543,74604.78422680378,5227925.789849498,2809560.91329804,1740745.5881077603,695905.5470165639,136403.2423443519,153424.41914506303,4916.533242262129,6186208.171247479,1187415.570222683,3136097.1019682055,1922574.9955850008,2548031.256858172,838651.2540082968,1375840.2534859136,347125.5732729965,1911562.1002342394,194644.54722596385,1723406.291661874,2850996.1043957677,505394.9037456581,1223760.1607363003,160092.25961217107,437371.2503745459,498362.20346898085,40906534.614847854
2017,20653214.894399546,20653214.89484234,365983.7373771833,143320.29534685018,188685.1694881957,3689.729469785105,6585211.501669142,3711306.130125262,1992788.659819334,943477.5381643598,297350.9802353849,102806.64910423022,193891.73415108983,7338978.6357817035,1692636.1046400077,3000229.669186931,2731365.6848604484,2559976.898580413,683773.1850566785,1440627.1954251279,423928.876411168,1931217.2560525634,74195.32124911125,1794251.823785784,1404866.5463355293,253001.5516814545,629644.3992006106,78608.62818410965,184400.45162178477,234270.28937294372,19974675.46975955,19978060.533940036,1001074.4427243547,427115.502258642,499200.67064352,93352.60664038493,5283763.465384575,2815992.6134141274,1781404.8851878336,688157.7924975363,156735.154616072,184649.00863302982,5920.713976804114,6173439.303638415,1183852.5963430777,3107242.2733065025,1945423.3478435639,2586693.580456325,843281.1821243992,1428470.9944994661,354969.8546200249,1997099.6523195514,178020.83424933098,1815941.1195512216,2828229.867232885,534278.4836273089,1231596.3515998726,166478.7229137033,438023.243389184,530179.4408428402,40898325.00016035
2018,20762615.79918121,20762615.798327822,392864.1698868199,146514.04704001674,223146.67472553384,2416.976564533431,6488632.435105157,3544323.584075943,2019543.3458952461,885904.481028094,295095.3915545505,112693.24295274721,185140.89202454287,7563428.417636645,1751890.111250934,3099816.8793127383,2777105.157535421,2753359.3300643847,722523.319575867,1573700.5017148964,404498.0167781974,1656333.340152499,77380.88800510658,1477067.3867508972,1373193.2326329495,267737.20041628217,688772.8761637518,77030.99115583971,174449.50000445946,228236.66570131446,20156647.991043344,20159832.78218931,1022883.5406948484,434157.9244746516,481720.83014046936,108452.70702496383,5350062.363582405,2818283.429296265,1841376.2303931133,702480.8374052156,177636.7237114209,198401.79873657733,6357.170458269132,6184929.183260676,1176772.8650098464,3086975.2498584213,1995402.4350729075,2605057.7802026384,823709.0136477625,1452675.8679831212,351592.4582961208,2039441.1890456397,177324.60015583917,1861943.048708674,2786687.74975955,544004.382452196,1180750.3502980873,170862.40014229386,426524.7941550466,534515.0166409407,40997503.42643075
2019,20676421.738287095,20676421.73852731,362707.63939491997,148795.18214478792,225858.82011883214,2942.3643840131936,6706885.520586527,3579310.0286116763,2145199.101613088,950494.3101699586,249411.60343517616,87559.79749503324,172418.819929655,7456115.614336748,1731553.1010105342,3057402.028576547,2757050.291176175,2599144.8328252556,727958.3509032917,1498675.1633688216,406558.2113661284,1869667.1176049286,68761.13718952527,1973733.2871610676,1440101.6857002114,270122.1088955641,590786.2027256868,70037.34592490997,174667.09091890743,263408.0193180342,20372165.99958852,20375468.88632495,1039320.8894496083,439974.73949180415,488948.63121958886,107465.36013795086,5403284.376809078,2841533.2071551424,1858071.6394864926,695191.9385652397,197160.42876528003,211590.28329231121,5455.155031892044,6187800.625605971,1173268.137142915,3056053.2023151712,2041211.2265031352,2658884.850336426,753441.157643915,1494637.853709242,337002.39785937755,2168707.384366508,185445.6380260585,2020622.4548789472,2741685.6848350666,519270.91141155484,1147230.819944142,168667.70192877133,412047.8481987262,547301.8179902721,40972354.35273735
2020,21250946.930677183,21250946.931017876,364230.5326569306,154971.45874995727,217841.44338339477,3047.230493296701,7136441.030082015,4140400.3694120822,2134817.2185872784,973405.9528443803,290727.08490062406,103717.63521936847,186647.0820758514,7621820.658695581,1757578.9323095111,3025861.2439829237,2927017.306946805,2762581.93770486,753968.501206974,1587864.520958037,412402.5274071707,2185103.1286568907,83614.49444740679,2143983.5260138246,1514612.167320799,247503.91196856595,705382.0757631068,67417.10783387098,190474.38235663745,263358.5294045729,20349686.632884614,20352693.75044269,990847.660878738,421366.98274305294,470109.6197786083,72411.99324394275,5430086.9563047895,2817657.457176519,1892901.8028900358,690109.7492747011,205583.65797744985,205110.24340092848,5542.986616602301,6135522.823798452,1158928.8250966065,2872152.9095152672,2067582.3277067407,2669112.205268478,784409.4586052212,1553313.0780164727,311752.9380667374,2256131.1437396877,174426.3397380376,2120380.879685567,2715260.5935238507,477519.1761678658,1034370.7641632874,165154.26419560186,392473.4672376326,530292.4299144486,41465573.45393111
2021,23980305.137238964,23980305.136523545,375601.01257129665,157237.58784528077,200192.44516359497,2417.253113305285,7998846.629680586,4484329.038109455,2537819.7933742204,927355.893571384,306780.3239321217,105646.19403028028,195527.8927619032,7643460.799284132,1809403.817260128,3075228.4674410936,2971539.1644871025,2834419.942466134,827482.0016663724,1628636.750644678,394520.7993389165,2337927.553755003,84363.45727406246,2370375.304831014,1554119.8183757206,280276.43646766595,737315.9805418225,89713.842797442,214265.1772414859,275088.18806909554,21532745.743304327,21536103.29763858,976774.6800974477,416186.58036190015,484543.5451560775,71378.85989619537,5466333.743094303,2827230.220873105,1952800.1495906268,671511.8716846997,207196.81623849928,212754.3796934576,4994.9679860561,6521050.180118565,1129515.36242532,2897249.380044124,2157802.3243126837,2744904.7963974355,759022.2959297127,1655849.7678094497,297570.4161100501,2375563.934604534,180106.16840205266,2331982.9195673177,2682403.8264360176,464925.8196256865,1050402.0947232936,165788.8664325981,386730.46562759293,520918.5863229347,45005535.518115014
