var,p,d,q,seasonal_order,date
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,1.0,0.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,0.0,2.0,1.0,"[0, 1, 1, 12]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,,,,,27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,1.0,2.0,0.0,"[0, 1, 1, 12]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,1.0,0.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,2.0,1.0,1.0,"[0, 1, 1, 12]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,0.0,2.0,0.0,"[0, 1, 1, 12]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,,,,,27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,0.0,2.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,1.0,0.0,2.0,"[0, 1, 1, 6]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,0.0,0.0,2.0,"[0, 1, 1, 12]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,,,,,27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,,,,,27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,,,,,27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,1.0,0.0,2.0,"[0, 1, 1, 3]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,1.0,1.0,2.0,"[0, 1, 1, 12]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,0.0,0.0,2.0,"[0, 1, 1, 6]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,0.0,2.0,2.0,"[0, 1, 1, 3]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,,,,,27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,2.0,2.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,1.0,2.0,1.0,"[0, 1, 1, 6]",27-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,0.0,2.0,2.0,"[0, 1, 1, 3]",27-04-2023
TOTAL,1.0,0.0,0.0,"[0, 1, 1, 6]",27-04-2023
