ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_SOJA_EM_GRAO - REGINTER_BREVES - REGIMED_BREVES,VAR_QUANTIDADE_PRODUZIDA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_BELEM,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_MARABA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_MARABA - REGIMED_MARABA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_ALTAMIRA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_QUANTIDADE_PRODUZIDA - PRODUTO_SOJA_EM_GRAO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,TOTAL
2020,16725311.705883075,16725311.705890303,413168.0000045498,156207.00000575834,246723.0000099518,10238.000008931873,4759601.352950153,2601675.0294135674,1259043.9705907125,873200.0000085365,373487.51395678223,127135.44937887372,232500.79989325354,5979076.14706648,1385592.3529462724,2185661.000008465,2482215.7159236846,1827037.3352217039,560714.0000059422,807973.6591920484,394333.40542022197,1415226.0000032191,83416.99750437457,1352296.3613225059,1674859.4117685116,279069.12681933393,928724.0000018084,76213.17647953414,165457.8431774902,209541.2454232872,21996598.73755438,21579641.553965647,1004981.7566954122,421366.98275023885,495886.75117399974,79405.24181548809,5560521.564585528,2964898.567391025,1913663.1888630823,689130.7545876808,205622.788101086,207109.17721859334,5674.359189676461,6533701.233617363,1266025.622401087,3202915.6258905525,2068346.929390418,2911094.40740934,1039078.9645921465,1553313.078012708,311752.938064482,2256131.1437422135,184986.00660888906,2070392.0002789176,2672485.2528964286,492664.2901303415,1034370.7641640459,312980.1553406395,406193.2750160687,530690.746552958,429083.0547186961,3415.420775434779,3369.354124249031,52.40700409105746,3.1611718564155636e-06,31292.600657764106,30896.509479115968,425.0292414606745,0.419249409637518,130031.62037067908,494.7615968434635,125894.00789501671,3576.0345751409013,56214.4092835612,53391.31965596736,2728.739849204665,7107.432520161456,7107.432594557757,2.727120038439027e-07,202134.7492368149,-0.006530369822438299,190264.48569585304,1.5414360189087088e-06,13392.748827211082,3.217653378001507e-06,1.8525979863415681e-06,0.0,228006.8040937364,228006.80443099287,2.956599752155713e-06,1.960780488896212e-06,18.828577206141205,18.828576928326793,28359.239029311462,0.0,28274.797071993038,0.0,90696.00000812032,87075.00000237135,3548.764625600385,5.715232025816915e-07,323.3351518910447,0.0,300.18699428055726,74601.47059086447,-28.318142851664124,75632.9125294858,183.345899270381,987.9150445870164,155715745.8913621
2021,17160960.41176533,17160960.41177269,413168.0000045498,156207.00000575834,246723.0000099518,10238.000008931873,4893292.705891525,2673903.0588252502,1294824.9411787922,873200.0000085365,402523.13962752366,146386.5210123159,232500.79989325354,6148397.294125428,1425180.7058874934,2185661.000008465,2638683.9785056235,1924959.615842606,560714.0000059422,938856.9901183571,402296.0616623031,1285372.0000015504,83964.07492761868,1262185.6477128998,1714356.8235332826,271944.4814704953,928724.0000018084,78034.35295022572,169259.46519607923,198941.41477240348,22431538.686669596,22002668.440692537,1020416.6420681423,429752.14401069644,502291.9667005383,75466.79504292866,5589580.615815566,2960305.5357165756,1956442.8041543777,683711.2285451563,208398.84304924286,217201.54254288695,6802.358544102022,6495791.220829868,1255510.3849442177,3139907.634995973,2122055.515324305,2962269.5693943137,1039078.9645921465,1590274.1208528827,313994.7455717682,2307949.086139596,184986.00660888906,2121456.8058096813,2531868.6533814766,501642.1523330166,984336.56260443,318035.7423091689,412096.7997578644,539342.0742759461,453121.98823728727,3625.8529256770207,3571.3106003367047,56.13852081079477,2.055721982828499e-06,34618.15862539071,34201.01848182834,460.29799297292266,0.6540297799284448,144649.0379234705,462.7979543757161,139994.0767154975,4046.241985652327,56803.85268984966,53838.9083306183,2775.2499216338533,9086.245656471967,9086.245872054906,2.727120038439027e-07,228023.4423876196,0.029861375109850815,200650.05831258526,1.600103336456427e-06,14547.799173342019,3.17207756206755e-06,3.0845007157404144e-06,0.0,221831.75029529163,221831.75065162953,3.2944867110753386e-06,3.6483202408065863e-06,18.828577206141205,18.828576928326793,34714.86917589341,0.0,41900.7039990496,0.0,90696.00000812032,87075.00000237135,3477.970274812907,3.7084784275987757e-07,615.6370673209028,0.0,610.2951864189558,76732.94117892117,0.0,84134.44190533167,0.0,539.6871132695092,159221760.6289987
2022,17596609.117647585,17596609.117655076,413168.0000045498,156207.00000575834,246723.0000099518,10238.000008931873,5026984.058832898,2746131.088236933,1330605.9117668718,873200.0000085365,426026.2195984428,156069.87090736427,232500.79989325354,6317718.441184377,1464769.0588287145,2185661.000008465,2779094.916356021,1952698.217754727,560714.0000059422,907322.5151067154,410991.4835092609,1155517.9999998817,84107.00427994481,1189335.3500337698,1753854.2352980536,293069.4938749035,928724.0000018084,79855.52942091729,173364.5957879643,192023.23808004183,22866478.635784812,22425695.327419426,1035851.5274408724,438137.30527115404,508697.18222707685,78010.34968926587,5618685.307305105,2954368.79353902,1999222.419445673,678316.7728606263,211346.93656403417,227293.90786718056,7530.1243267806885,6457881.208042373,1244824.1272608812,3076899.644101394,2181063.8399446844,3013444.7313792873,1039078.9645921465,1627235.1636930574,317008.3121967349,2359767.0285369786,184986.00660888906,2172521.611340445,2391946.81521077,510620.01453569176,934307.6530996702,323091.3292776983,418000.32449966006,547993.4019989342,477160.92175587843,3855.7738303488427,3797.269749650391,62.60182303595978,2.055721982828499e-06,37943.7165930173,37505.527484540704,477.2244318580366,0.6540297799284448,158773.4700030058,419.18162358454816,153558.71528164888,4516.449396163753,57160.93349182842,54104.93341310942,2792.4740158214922,10994.041629460127,10994.042049324591,2.727120038439027e-07,252799.5529485736,0.0,215549.97961588373,1.600103336456427e-06,15980.042450415773,3.127147295779259e-06,1.6230696183210476e-06,0.0,223249.49148978436,223249.49181942618,3.1502558465241976e-06,2.154082777303881e-06,18.828577206141205,18.828576928326793,33966.61106552978,0.0,44208.62378064213,0.0,90696.00000812032,87075.00000237135,3408.5882014324075,2.406343642015078e-07,349.8022246247986,0.0,325.17601470827697,78864.41176697788,0.0,92635.97128117754,0.0,294.82512876492734,162727775.3666353
2023,18032257.82352984,18032257.82353746,413168.0000045498,156207.00000575834,246723.0000099518,10238.000008931873,5160675.41177427,2818359.117648616,1366386.8823549515,873200.0000085365,445050.943721266,160940.62651906977,232500.79989325354,6487039.588243326,1504357.4117699356,2185661.000008465,2914095.6264352603,2005872.3865777734,560714.0000059422,963395.7995308072,419473.30193132575,1025663.999998213,84144.34597764316,1130439.2914038214,1793351.6470628246,291744.6108566463,928724.0000018084,81676.70589160886,177566.10584487987,187507.96134373423,23301418.58490003,22848722.214146316,1051286.4128136025,446522.46653161163,515102.3977536154,78010.34968926587,5647784.997602664,2951644.3210809673,2042002.0347369683,672918.2364589886,214148.54459897216,237386.27319147417,7999.66629270461,6419971.195254878,1234060.2936623003,3013891.6532068145,2240072.164565064,3064619.893364261,1039078.9645921465,1664196.206533232,319903.2991312014,2411584.970934361,184986.00660888906,2223586.4168712087,2263769.4274057667,519597.8767383669,884278.3982738273,328146.9162462277,423903.8492414557,556644.7297219223,501199.8552744696,3547.5316527442246,3479.3957069837957,68.90621441210183,2.055721982828499e-06,41269.2745606439,40810.03648725307,479.5115174181002,0.6540297799284448,172897.90208254108,370.39878250732704,167123.35384780023,4986.656806675178,57377.250610285424,54263.045868858215,2798.8526216823266,12833.369157543964,12833.3698400742,2.727120038439027e-07,281967.4604195344,0.0,230930.83058108005,1.600103336456427e-06,17258.72614035062,3.082853435376145e-06,1.985683738857834e-06,0.0,222923.9898568969,222923.99019779128,3.349120441704811e-06,3.477160112108839e-06,18.828577206141205,18.828576928326793,33966.61106552978,0.0,47845.7728693781,0.0,90696.00000812032,87075.00000237135,3340.5902319188785,1.5614192819279007e-07,591.5665096358568,0.0,587.319821733869,80995.88235503458,0.0,101137.50065702341,0.0,161.05972222436392,166233790.1042719
