ano,TOTAL,REGINTER_BELEM,REGINTER_BELEM - REGIMED_ABAETETUBA,REGINTER_BELEM - REGIMED_ABAETETUBA - soja_em_grao,REGINTER_MARABA,REGINTER_MARABA - REGIMED_MARABA,REGINTER_MARABA - REGIMED_MARABA - soja_em_grao,REGINTER_MARABA - REGIMED_TUCURUI,REGINTER_MARABA - REGIMED_TUCURUI - soja_em_grao,REGINTER_MARABA - REGIMED_PARAUAPEBAS,REGINTER_MARABA - REGIMED_PARAUAPEBAS - soja_em_grao,REGINTER_REDENCAO,REGINTER_REDENCAO - REGIMED_XINGUARA,REGINTER_REDENCAO - REGIMED_XINGUARA - soja_em_grao,REGINTER_REDENCAO - REGIMED_REDENCAO,REGINTER_REDENCAO - REGIMED_REDENCAO - soja_em_grao,REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU - soja_em_grao,REGINTER_SANTAREM,REGINTER_SANTAREM - REGIMED_SANTAREM,REGINTER_SANTAREM - REGIMED_SANTAREM - soja_em_grao,REGINTER_SANTAREM - REGIMED_ITAITUBA,REGINTER_SANTAREM - REGIMED_ITAITUBA - soja_em_grao,REGINTER_SANTAREM - REGIMED_ORIXIMINA,REGINTER_SANTAREM - REGIMED_ORIXIMINA - soja_em_grao,REGINTER_ALTAMIRA,REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ - soja_em_grao,REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,REGINTER_ALTAMIRA - REGIMED_ALTAMIRA - soja_em_grao,REGINTER_CASTANHAL,REGINTER_CASTANHAL - REGIMED_BRAGANCA,REGINTER_CASTANHAL - REGIMED_BRAGANCA - soja_em_grao,REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,REGINTER_CASTANHAL - REGIMED_PARAGOMINAS - soja_em_grao,REGINTER_CASTANHAL - REGIMED_CAPANEMA,REGINTER_CASTANHAL - REGIMED_CAPANEMA - soja_em_grao,REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO - soja_em_grao
2020,1875945.4678768753,33227.58983782641,33227.58983782641,33227.58983782641,146393.85911486758,138078.35389691108,138078.35389691108,0.0,0.0,839.9001809554269,839.9001809554269,460586.3551028604,4994.0085296695925,4994.0085296695925,451544.02654104994,451544.02654104994,2579.312950397112,2579.312950397112,209752.9411764706,161928.5294117647,161928.5294117647,61519.42712656889,61519.42712656889,0.0,0.0,57390.0,0.0,0.0,42619.729866897644,42619.729866897644,990432.1127823668,521.3089530073507,521.3089530073507,989346.5824548954,989346.5824548954,-0.0329276598425626,-0.0329276598425626,9.904419481938366,9.904419481938366
2021,1987713.3939798824,36295.17967565282,36295.17967565282,36295.17967565282,175294.36270241367,164389.21372460565,164389.21372460565,0.0,0.0,1215.5518647044241,1215.5518647044241,502536.27295561763,5894.996710512081,5894.996710512081,493125.379930933,493125.379930933,2453.1429133541224,2453.1429133541224,215745.8823529412,166555.0588235294,166555.0588235294,40207.851542836266,40207.851542836266,0.0,0.0,57390.0,0.0,0.0,34159.598535033845,34159.598535033845,1053944.2255647336,159.9432934257812,159.9432934257812,1052493.1649097905,1052493.1649097905,0.0,0.0,5.100167199966674,5.100167199966674
2022,2093226.2823716006,39362.76951347923,39362.76951347923,39362.76951347923,163821.70238762698,157874.32758173477,157874.32758173477,0.0,0.0,1034.6593890770278,1034.6593890770278,577292.1401245279,6836.5419639389565,6836.5419639389565,565359.1337496919,565359.1337496919,2012.224581231137,2012.224581231137,221738.8235294118,171181.5882352941,171181.5882352941,42397.46195397432,42397.46195397432,0.0,0.0,57390.0,0.0,0.0,4932.132347175677,4932.132347175677,1117456.3383471004,159.9432934257812,159.9432934257812,1115639.7473646856,1115639.7473646856,0.0,0.0,2.626272596294077,2.626272596294077
2023,2200975.6216590204,42430.35935130564,42430.35935130564,42430.35935130564,143488.43754454248,139905.79844505884,139905.79844505884,0.0,0.0,1121.7669122273096,1121.7669122273096,584720.4299268401,7782.569417213584,7782.569417213584,571507.2847574544,571507.2847574544,1407.2585838157243,1407.2585838157243,227731.7647058824,175808.1176470588,175808.1176470588,55009.487264277355,55009.487264277355,0.0,0.0,57390.0,0.0,0.0,39366.48608593199,39366.48608593199,1180968.4511294672,159.9432934257812,159.9432934257812,1178786.3298195808,1178786.3298195808,0.0,0.0,1.3523689478435725,1.3523689478435725
