ano,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO
2022,25472181.89083654
2023,27128700.249335382
2024,28810296.72802065
2025,30509213.097538043
2026,32356870.934720125
2017,20653214.895960994
2018,20762615.796141643
2019,20676421.7391776
2020,21250946.931909125
2021,23980305.134625357
