,COLUMN,MAPE
0,VAR_EFETIVO_DOS_REBANHOS,
1,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,
2,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,
3,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,
4,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,
5,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,
6,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,
7,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,
8,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,
9,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,
10,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,
11,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,
12,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,
13,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,
14,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,
15,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,
16,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,
17,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,
18,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,
19,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,
20,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,
21,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,
22,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,
23,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,
24,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,
25,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,
26,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,
27,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,
28,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,
29,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,
30,VAR_AREA_DE_COBERTURA,
31,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,
32,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,
33,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,
34,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,
35,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,
36,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,
37,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,
38,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,
39,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,
40,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,
41,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,
42,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,
43,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,
44,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,
45,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,
46,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,
47,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,
48,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,
49,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,
50,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,
51,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,
52,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,
