ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
1985,3446825.000007075,3446825.0000052922,142483.000002318,37341.00000857484,102579.00000078353,2563.000004314263,649912.000004419,596872.0000076101,53040.00000255952,7.365098557378831e-06,479294.00000841887,129959.00000016835,349335.00000338216,878031.0000000738,394455.0000033657,451576.0000018374,32000.000003630143,530629.0000093844,341571.0000055878,46559.00000082807,142499.00000885426,104297.00000874726,18440.000005820366,85857.00000120803,662179.0000098071,65648.00000414472,385641.00000398257,27523.00000541825,63586.000006589136,119781.00000848738,6773700.518524897,6773700.518525302,464760.7686523459,127886.33863732286,271704.20775504975,65170.222276158194,1446616.4797237308,834477.2518501409,416376.6536715791,195762.57422469373,130768.67085494172,105316.89691843998,25451.773935817066,1678092.33353365,545557.1783952721,1000298.3934548149,132236.76169914711,1119963.737937603,645785.832201614,259676.57860323036,214501.32713148752,442503.15983335505,159379.35314087552,283123.80669815774,1490995.3680171547,178439.11303667753,749057.4582581258,136034.61144070214,199569.90904527713,227894.2762544484,10220525.518531973
1986,4102298.000003341,4102298.0000040364,192805.0000006407,73342.00000236966,116217.00000354333,3246.000008494905,651733.0000007101,578560.0000097214,73173.00000561979,3.23675770659624e-06,546501.0000085298,177926.0000085779,368575.00000101933,1184547.0000041665,560643.0000077941,589284.0000006371,34620.00000013334,646823.0000066343,437695.0000038529,48887.000003238245,160241.00000148962,131053.00000580148,19393.00000301416,111660.00000328032,748836.0000071337,76621.00000061371,449860.000007304,29363.000000742275,67123.00000519578,125869.00000991568,6587442.453231983,6587442.453234551,462867.7184779752,125986.36139419216,272151.2060922125,64730.151001346014,1448131.7599309818,835044.4080369289,413885.4515177084,199201.9003833668,56404.074839321096,51555.32227026912,4848.752569013472,1697750.4519860551,561280.3866772772,1004467.2119477715,132002.85337506977,1044255.7542179091,636379.7767041065,235880.55530779087,171995.42221578112,412963.5081113911,142983.10045375922,269980.4076676,1465069.185706541,178332.0392679402,747200.7157143574,119419.5373562778,199242.17968858246,220874.7137077608,10689740.453235324
1987,4641462.000008265,4641462.000005362,211405.00000714808,76995.00000710059,129179.0000002783,5231.000008415379,792656.0000064237,714755.0000042653,77901.00000437124,9.503499236653746e-07,693722.0000050951,337854.00000525254,355868.0000057126,1332698.0000008456,623754.000009368,668603.0000064523,40341.000001067936,682186.00000405,454174.0000074293,51331.00000220131,176681.00000629932,140161.0000003679,20411.00000725551,119750.0000064789,788634.0000093227,83252.00000850981,469380.00000453496,32471.000008432417,69451.00000703923,134080.00000839873,7124762.807503346,7124762.807502859,536584.270107153,142323.52043648632,329789.1691709272,64471.580512901106,1597868.4914988019,933392.1336068178,432173.3260538763,232303.03184656284,61458.54421292441,57026.88317412437,4431.661047164744,1876656.0036319685,641126.8232879422,1085248.4221716523,150280.75818709432,1038912.6987599174,589574.9474818193,253208.89689876864,196128.8543895502,424890.99024335353,116114.8935817816,308776.0966695072,1588391.8090763066,182486.75970874226,789332.9069759864,133618.49507743024,214312.7828890692,268640.86444942036,11766224.80751161
1988,5431061.000007295,5431061.000002815,232784.00000124436,96694.00000198605,130997.00000729963,5093.000009231978,780691.0000037166,696300.0000005662,84391.0000035724,2.441341120502516e-07,752519.0000006027,353088.0000015205,399431.0000083001,1861163.0000046706,775981.000001141,1015154.0000099748,70028.00000844404,769066.000004231,470616.0000019805,103803.00000062765,194647.00000279996,151203.00000103455,20603.0000007846,130600.00000762563,883635.0000089441,89995.0000056006,505000.00000121276,36728.000000445776,71514.00000196413,180398.00000637159,7647170.534558168,7647170.534558452,570191.0491872653,142909.4486493392,365562.9231696152,61718.67738230499,1735842.6603181027,1027382.0833948939,449496.09886964556,258964.47806847116,61122.760153149015,56780.3980990759,4342.362058834512,2063514.9171709917,692902.511359977,1180082.1348890841,190530.27094061158,1085144.2833313989,607270.4346090982,276355.365832341,201518.4828948763,409179.1423976158,89350.65363014059,319828.4887688061,1722175.7220266059,203419.592140277,823793.8605826097,157913.0118106354,235400.10507789731,301649.1524263063,13078231.534565464
1989,5955474.000005287,5955474.000008376,278257.0000068916,143607.00000256824,129457.00000685734,5193.000005811321,1291445.00000784,856369.0000032181,288976.00000391144,146100.00000022122,593799.0000005922,146956.0000092031,446843.0000094582,1897893.0000063586,676277.0000013806,1130585.0000010293,91031.00000575896,682511.0000075389,351714.0000057723,114618.00000228849,216179.00000587496,213347.00000165234,23147.00000220989,190200.00000246172,998222.0000075343,97380.00000289433,629260.0000023426,34737.00000630464,72600.00000375802,164245.000009788,7806384.994716284,7806384.994714254,573171.3852145132,148867.65742138267,357736.17922615167,66567.548572963,1862706.92346209,1099560.4077605114,479386.18395332317,283760.3317457528,53287.186119682265,50261.575035428534,3025.611085592315,2168210.2120599365,736867.3200963704,1221529.4934811841,209813.39849094235,1073569.058395754,605525.6690321788,293055.6903961864,174987.69897652103,408748.80516338994,70753.19314415824,337995.6120341831,1666691.4243300962,185340.01987914086,804992.3876794912,162745.5285016053,222275.17354410232,291338.31474859465,13761858.994721571
1990,6292421.0000009965,6292421.000005624,282747.00000576983,148540.00000477707,129242.00000557318,4965.0000098523005,1363288.0000070632,908988.0000080193,298300.00000005355,156000.00000782657,714373.000006842,186789.0000097218,527584.0000052551,1972372.0000096932,724554.0000061349,1146471.0000036624,101347.00000991514,614892.0000014713,299874.0000045101,136241.00000854666,178777.0000059995,223145.00000640602,23845.00000137818,199300.00000127425,1121604.0000011849,101150.00000720046,747005.000009586,36896.00000680844,75078.00000336199,161475.00000206835,8135955.974531468,8135955.974529603,584385.0848725943,171024.0158001796,334171.04522618285,79190.0238572246,1987255.596626712,1156385.5734072628,515945.61508715537,314924.40814451716,65069.4855441111,62627.7031961421,2441.7823583732543,2257220.9468252216,776742.8168523511,1252144.6134070004,228333.51657916792,1150844.6177303426,715591.7463251806,280600.6958322974,154652.1755798888,400058.4254911633,50572.330111872056,349486.0953919971,1691121.8174720504,185094.46150240616,831349.0263193697,152781.18875747296,242129.94206721667,279767.1988530508,14428376.974532465
1991,6714444.000005325,6714444.000009947,285850.0000046781,151700.00000775934,129589.00000769027,4561.0000029929415,1372751.000005441,917261.0000031511,301690.00000893074,153800.00000712014,636726.0000000638,205622.00000301236,431104.0000081498,2299703.0000017816,790191.0000026252,1398658.0000007057,110854.00000426761,661043.0000008843,327067.00000362436,147520.00000632886,186456.00000057396,235682.00000354837,25682.00000115943,210000.00000052922,1222689.0000066764,105320.00000718632,827048.000007846,37780.00000335071,77331.00000141136,175210.00000547973,8498266.640461173,8498266.64045745,569785.1149536798,170395.30847547163,318712.26928194275,80677.53719990856,2102111.4251306104,1236534.7894033121,517204.7022228365,348371.93351494794,69369.4859801813,64693.41742872672,4676.068555799291,2340490.5581656946,799919.8471527168,1279879.4771554114,260691.23385360764,1186518.720460793,736377.331268919,272625.18142928905,177516.20776496278,391939.4691307183,48913.072442302764,343026.3967054601,1838051.8666630788,279786.01188877306,836925.6229705143,164244.94360197088,261676.95412150124,295418.3341071513,15212710.640466498
1992,7066588.000002579,7066588.000001992,316478.0000041839,151450.0000096307,161022.00000036694,4006.000007372378,1489186.000006097,1001462.0000035623,326524.00000612816,161200.0000005049,608790.0000016732,220139.00000821182,388651.00000034913,2434709.0000079856,843908.0000057357,1474166.000006183,116635.00000543085,707646.000003442,369450.0000035025,164191.00000188203,174005.00000949504,234169.00000813184,26669.000003760742,207500.00000215083,1275610.000001111,107100.00000751698,860462.0000064239,35974.00000456908,78632.00000083179,193442.0000088685,9203569.579073403,9203569.579073597,577447.5439345534,164458.82925955197,340296.0857055427,72692.62897390287,2334611.420215332,1360184.0161314537,578469.4328428444,395957.9712490358,62312.74947552164,54559.21698471279,7753.532492601296,2562023.0150138633,884118.2042276643,1377733.6019828005,300171.20881750836,1286741.47522704,750812.9111780105,326293.790547525,209634.77351262828,450539.51752706367,68006.70410503574,382532.8134207716,1929893.8577023507,274843.0509107595,873970.0023828651,194495.4505559305,259280.38314773262,327304.9707197331,16270157.579075981
1993,7515580.00000168,7515580.0000013355,371707.00000876456,153500.00000374264,214028.00000976084,4179.000004211039,1403395.00000047,883790.0000080449,389605.0000062151,130000.00000382192,642066.0000091986,233137.00000247266,408929.00000362826,2687466.0000024713,871830.0000004867,1551736.0000053535,263900.0000073779,835102.0000004836,386262.00000681134,228700.00000296236,220140.00000482003,333341.0000039376,27341.00000797814,306000.00000552065,1242503.0000018466,68000.00000079673,918895.0000088309,38926.00000005309,61330.00000921784,155352.0000000184,9847201.502592098,9847201.502593996,646942.9244231166,192099.83827845432,375884.42266086984,78958.66349415762,2469927.7632743325,1426112.7631612462,617080.0862916104,426734.9138306878,76007.2723688499,66659.31385554858,9347.958508009475,2790767.684848506,938423.658988901,1509674.2774261557,342669.74845584744,1375252.3601668498,767012.1464247598,378239.40308016335,230000.81067411817,522131.0655111882,99036.89230857976,423094.17321153876,1966172.4320348275,273750.73920165724,892230.7605026661,204137.280247267,255781.5995746633,340272.05252036627,17362781.502593778
1994,7624234.000000615,7624234.000003626,392198.0000074548,158530.00000987935,229320.00000460882,4348.0000049694745,1393568.0000067633,883280.0000057232,372188.00000164093,138100.0000012193,663767.0000020794,236642.00000668145,427125.00000131375,2626842.000008994,899984.0000010678,1406183.0000039528,320675.0000011426,904160.000009145,403000.00000559184,278000.0000085892,223160.0000052805,364354.0000088412,30654.000000394015,333700.0000018048,1279345.000002209,73100.00000513729,938723.0000046297,41042.00000401358,62362.000005901624,164118.00000486124,10330947.588964563,10330947.588968348,641707.3485704415,200954.9254116413,360901.5444840263,79850.87869042487,2622946.3307591043,1507167.0617937895,654112.7419113755,461666.52705922886,82730.56476136287,70212.7842082726,12517.78055745134,3011477.684150435,975411.8000567646,1636361.2747353574,399704.6093716254,1444602.43736041,779027.8538109481,408387.70124575053,257186.8823120494,602658.911857922,158657.7032712629,444001.20857977425,1924824.3115531958,273635.76940575,899908.9728785522,190930.3061945901,251322.87317223387,309026.38991472207,17955181.588965178
