ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
1985,3446825.0000074143,3446825.000008082,142483.0000061177,37341.00000399704,102579.0000063751,2563.0000009745477,649912.0000062294,596872.0000056007,53040.00000495521,3.44978009068231e-06,479294.00000585924,129959.0000072704,349335.0000066404,878031.0000047908,394455.00000614976,451576.00000506674,32000.000009041105,530629.0000037767,341571.00000979425,46559.000003292276,142499.00000608337,104297.00000184451,18440.00000252657,85857.00000786385,662179.0000045073,65648.0000025856,385641.0000014311,27523.00000431422,63586.00000861812,119781.0000086804,6237518.961010825,6237518.961017093,452093.15731951897,127886.3386343321,259036.59642080092,65170.22227478553,1378754.1788818447,766614.9510018916,416376.65366679424,195762.57421563772,130768.67084913679,105316.89692123211,25451.773931467742,1432943.1673497467,476323.3838485768,824383.021809312,132236.76169644092,976160.1887480806,501982.2830189342,259676.57860619383,214501.32713359466,442503.159833121,159379.35314275612,283123.8067055408,1424296.43806059,178439.11303538858,749057.4582619702,69335.68148498764,199569.90904673646,227894.2762524147,9684343.961018238
1986,4102298.0000045313,4102298.000001272,192805.0000093499,73342.00000887414,116217.00000283892,3246.000002352361,651733.0000014104,578560.0000000608,73173.0000007176,9.83870881440866e-07,546501.0000089133,177926.0000071902,368575.0000024807,1184547.0000069756,560643.0000017233,589284.0000000282,34620.00000687192,646823.0000048499,437695.00000461057,48887.00000581953,160241.00000539975,131053.00000345908,19393.000003965964,111660.00000300357,748836.0000025264,76621.00000421108,449860.00000441325,29363.000005557584,67123.0000034448,125869.00000010428,6056330.053809933,6056330.053813204,448727.7609200019,125986.36139468043,258011.2485352288,64730.15099836188,1381872.390091755,768785.0381991098,413885.4515164912,199201.90038096774,56404.07483818679,51555.32227169626,4848.7525735552945,1447750.8792770365,489255.4845241682,826492.5413865391,132002.85337662403,901212.8743904254,493336.8968790343,235880.55530987275,171995.42221924855,412963.50811593485,142983.10045541,269980.40766380035,1407398.566219718,178332.03926934057,747200.7157163731,61748.91787043347,199242.17968665992,220874.71369890182,10158628.053814465
1987,4641462.000007392,4641462.00000074,211405.00000817602,76995.00000214133,129179.0000078277,5231.000007054162,792656.0000075101,714755.0000026867,77901.00000900542,5.512249021537553e-06,693722.0000089211,337854.00000982446,355868.0000066664,1332698.0000093668,623754.0000056692,668603.0000024785,40341.0000023169,682186.0000014077,454174.00000515894,51331.00000649343,176681.0000083389,140161.0000041217,20411.000005619077,119750.00000046733,788634.0000093641,83252.00000650987,469380.00000517716,32471.000000859098,69451.00000934018,134080.00000584492,6572045.995588956,6572045.995592272,520561.69523299317,142323.5204357753,313766.5942809994,64471.580521765434,1525127.2177991797,860650.8599046429,432173.32605347247,232303.03185076133,61458.54421148901,57026.88317468309,4431.661051416024,1602311.295256155,558269.7268665279,893760.810224264,150280.75818022576,913588.1643150834,464250.41303818114,253208.89689051357,196128.8543919895,424890.9902439977,116114.8935768278,308776.0966638146,1524108.088571431,182486.7597089533,789332.9069679467,69334.774574885,214312.78288876993,268640.864447719,11213507.99559635
1988,5431061.000005526,5431061.000009031,232784.0000080599,96694.0000009507,130997.00000493562,5093.00000243546,780691.0000007153,696300.0000061234,84391.00000343437,3.8198041278666575e-06,752519.0000048616,353088.0000096675,399431.000009948,1861163.0000017667,775981.0000035323,1015154.0000076395,70028.00000486722,769066.0000097913,470616.00000169856,103803.00000777807,194647.00000522626,151203.00000930295,20603.00000475881,130600.00000794468,883635.0000009463,89995.00000145746,505000.0000071604,36728.000008791,71514.0000023896,180398.00000589615,7053376.501964598,7053376.501969748,553104.2932234798,142909.4486439569,348476.16720460606,61718.677377298205,1657526.3769478993,949065.8000147293,449496.0988630999,258964.47806727202,61122.760155633216,56780.398102830455,4342.3620581814985,1773420.8198633785,605439.1821167402,977451.3668232862,190530.27093774307,950980.57445689,473106.7257420527,276355.3658304109,201518.4828961879,409179.1423920151,89350.65363010248,319828.4887689954,1648042.5349607223,203419.59214607763,823793.8605893073,83779.82474844728,235400.10507353453,301649.1524252673,12484437.501970123
1989,5955474.000006425,5955474.000009518,278257.0000054878,143607.0000074317,129457.00000267546,5193.000005924536,1291445.0000008792,856369.0000058721,288976.000004145,146100.00000613023,593799.000000995,146956.00000524905,446843.000002126,1897893.0000053484,676277.0000007543,1130585.000007949,91031.00000424824,682511.0000031721,351714.0000091491,114618.00000410799,216179.0000051257,213347.00000693003,23147.00000135972,190200.000002347,998222.000005144,97380.00000520863,629260.0000077897,34737.000000192354,72600.00000245188,164245.0000063894,7195662.331041479,7195662.331043086,555958.7786125399,148867.6574218139,340523.5726185036,66567.54856810796,1780280.8321917602,1017134.3164957662,479386.1839573421,283760.33174461295,53287.18611421935,50261.575039747346,3025.611092462118,1874643.3547563804,646231.2656051475,1018598.6906651116,209813.3984906057,933000.3139138925,464956.9245460493,293055.6903964179,174987.69897805143,408748.80516911997,70753.19314409507,337995.61202647904,1589743.060320341,185340.0198765106,804992.3876786731,85797.164489639,222275.17353811534,291338.3147463564,13151136.331047904
1990,6292421.000000529,6292421.000003369,282747.0000027737,148540.00000864163,129242.00000384476,4965.000002186239,1363288.0000017937,908988.000008044,298300.00000096083,156000.00000442643,714373.0000075224,186789.00000833246,527584.0000071181,1972372.000005182,724554.000006211,1146471.0000068035,101347.0000038939,614892.0000059366,299874.00000815204,136241.0000088463,178777.0000050677,223145.00000920056,23845.000003015168,199300.0000030436,1121604.0000068315,101150.00000118386,747005.000007212,36896.00000563638,75078.00000980469,161475.0000050488,7492710.740778664,7492710.740780296,569976.2115042993,171024.0158028342,319762.17186073377,79190.023853816,1903884.59878049,1073014.5755511306,515945.6150895168,314924.40814615175,65069.4855480568,62627.70319563356,2441.7823566583843,1959669.2621573587,682711.9074271774,1048623.8381643335,228333.51657764174,976942.7546425634,541689.8832353017,280600.6958343183,154652.17557682577,400058.425486081,50572.33011107624,349486.09538516076,1617110.002694314,185094.461495387,831349.0263211248,78769.3739783825,242129.94207478064,279767.1988511335,13785131.740779193
1991,6714444.000004353,6714444.000007923,285850.0000020604,151700.00000188345,129589.00000855535,4561.000004338471,1372751.0000061973,917261.0000021049,301690.00000628445,153800.0000078493,636726.0000032946,205622.00000237618,431104.0000035663,2299703.0000097295,790191.0000006756,1398658.0000030848,110854.00000139668,661043.0000030991,327067.00000598014,147520.00000618582,186456.0000060547,235682.0000073923,25682.00000929907,210000.00000996605,1222689.0000067337,105320.00000391109,827048.0000098281,37780.00000178886,77331.00000103167,175210.000005455,7848382.2180353645,7848382.218040299,558154.931996653,170395.3084803242,307082.0863230316,80677.53719942554,2016479.6081678167,1150902.9724385836,517204.70222350577,348371.9335179304,69369.48598095008,64693.41742406016,4676.0685567178925,2038910.6113738467,704859.6949249306,1073359.6826032726,260691.2338570763,1015781.7170991139,565640.3279069245,272625.18142644875,177516.20776680633,391939.4691352864,48913.07244327502,343026.39670325484,1757746.3943150092,279786.0118891892,836925.6229688801,83939.47125634918,261676.95411977544,295418.3341057321,14562826.218039718
1992,7066588.000004798,7066588.000002729,316478.000002692,151450.00000221733,161022.00000106957,4006.0000060466164,1489186.0000062091,1001462.0000053803,326524.0000032043,161200.00000642464,608790.0000020983,220139.00000580456,388651.0000004043,2434709.0000081933,843908.0000078778,1474166.0000024424,116635.00000486452,707646.0000027367,369450.0000014,164191.00000718783,174005.0000045051,234169.00000662028,26669.000005683876,207500.00000258698,1275610.0000027139,107100.00000635556,860462.0000002485,35974.00000775414,78632.0000071898,193442.00000707695,8513668.500883186,8513668.500879828,564398.781752331,164458.82925880895,327247.32352207036,72692.62897918532,2245609.6877812296,1271182.2836922952,578469.4328397465,395957.97125163506,62312.74948162508,54559.216979422716,7753.532495389638,2238005.3960346407,781802.0501081899,1156032.137128211,300171.20881692367,1116946.5137331476,581017.9496778521,326293.7905519436,209634.77351700122,450539.5175215797,68006.70410817713,382532.81342365505,1835855.8546178546,274843.0509100398,873970.0023868495,100457.44747291892,259280.38314962972,327304.97072379984,15580256.500887984
1993,7515580.0000076685,7515580.000004842,371707.00000502646,153500.00000927795,214028.0000047498,4179.000003438714,1403395.0000099437,883790.0000041288,389605.000006594,130000.00000808213,642066.0000037943,233137.00000314543,408929.00000435545,2687466.0000005243,871830.000000912,1551736.0000068,263900.00000346143,835102.0000026887,386262.0000078045,228700.00000469826,220140.0000058486,333341.00000392256,27341.000003832458,306000.00000770285,1242503.00000782,68000.00000509553,918895.0000034261,38926.000001131084,61330.00000707381,155352.000000968,9128359.39638213,9128359.39638027,632785.2026199573,192099.83827917397,361726.70085761946,78958.66349130592,2379678.764905169,1335863.7647935194,617080.0862862552,426734.91383290093,76007.27236002867,66659.31385892094,9347.958515440421,2443942.626117506,831991.3078665754,1269281.5698026996,342669.7484498404,1205583.8264409667,597343.6127011057,378239.4030786807,230000.81067057437,522131.0655128061,99036.89230845713,423094.173215122,1868230.638443973,273750.73920343525,892230.7605017712,106195.48665993883,255781.59957101857,340272.05252610246,16643939.3963898
1994,7624234.000009059,7624234.000006718,392198.00000823627,158530.00000880897,229320.0000053514,4348.0000013212775,1393568.000005705,883280.0000080843,372188.0000056411,138100.00000994295,663767.0000072438,236642.00000834305,427125.0000081239,2626842.0000054236,899984.0000089378,1406183.0000051856,320675.00000923336,904160.0000062403,403000.00000058353,278000.0000077008,223160.00000478813,364354.0000045053,30654.000008845036,333700.0000083843,1279345.0000039465,73100.00000734944,938723.0000051169,41042.00000947215,62362.00000954148,164118.00000213415,9602088.004652632,9602088.004649522,628632.1668692698,200954.92541357555,347826.36277252,79850.87869518164,2531194.920193201,1415415.6512186152,654112.741910847,461666.5270649,82730.56475799216,70212.78420713246,12517.780550614567,2649336.7297896147,870646.9943585442,1378985.126076669,399704.60936466453,1274598.429092717,609023.8455440702,408387.701243775,257186.88230760474,602658.9118573735,158657.7032724719,444001.20858360536,1832936.2821339883,273635.7694047241,899908.9728850524,99042.27678527808,251322.87317400955,309026.38991432154,17226322.00466169
